"","Date","AG","AI","AR","BE","BL","BS","FR","GE","GL","GR","JU","LU","NE","NW","OW","SG","SH","SO","SZ","TG","TI","UR","VD","VS","ZG","ZH","CH"
"1",2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2020-02-28,1,0,0,1,1,0,0,3,0,6,0,0,7,0,0,0,1,0,0,1,0,0,3,1,0,2,10
"3",2020-02-29,1,0,0,2,2,0,1,5,0,12,0,0,14,1,0,0,1,0,0,2,1,0,6,1,0,2,13
"4",2020-03-01,2,0,0,2,2,1,1,7,0,17,1,0,22,1,0,0,2,0,1,3,2,0,9,2,1,2,19
"5",2020-03-02,2,0,1,4,2,3,2,7,1,23,1,0,29,1,0,0,3,0,1,4,2,1,12,3,1,2,27
"6",2020-03-03,6,1,1,5,2,3,3,9,1,29,1,0,36,2,0,0,3,1,1,5,4,1,14,3,1,9,45
"7",2020-03-04,7,1,1,6,2,3,4,9,2,35,1,0,43,2,0,1,4,1,3,6,5,1,17,4,2,14,55
"8",2020-03-05,9,1,1,12,6,8,6,13,2,41,2,5,51,2,0,2,4,1,4,7,18,1,20,5,3,19,100
"9",2020-03-06,12,1,1,17,6,15,7,17,3,46,3,9,58,2,1,2,5,1,6,8,32,1,23,6,4,26,162
"10",2020-03-07,13,1,2,23,15,21,7,26,4,52,4,14,65,3,1,4,6,4,6,8,45,1,30,6,6,30,225
"11",2020-03-08,13,1,2,28,19,24,8,35,4,58,4,19,72,3,1,6,6,8,7,9,58,1,40,7,7,37,274
"12",2020-03-09,14,1,2,34,20,28,11,44,5,64,5,23,80,3,1,8,7,12,7,10,68,2,51,12,8,40,341
"13",2020-03-10,17,2,3,47,22,33,14,68,6,70,6,28,87,4,1,11,8,15,8,11,105,2,77,17,9,49,416
"14",2020-03-11,18,2,4,59,26,49,16,79,6,75,6,32,94,4,1,13,8,18,8,12,143,2,108,22,10,59,503
"15",2020-03-12,27,2,5,72,26,73,22,108,7,81,9,37,101,7,1,15,9,22,9,13,180,2,156,30,12,92,793
"16",2020-03-13,32,2,6,85,42,92,29,173,8,87,10,42,108,9,1,21,10,26,9,14,258,2,204,53,13,140,1117
"17",2020-03-14,39,2,7,98,47,100,36,282,8,93,15,46,116,12,3,28,10,29,12,15,265,3,350,76,13,183,1432
"18",2020-03-15,45,3,8,110,54,122,40,372,9,99,16,51,123,14,6,34,11,32,13,16,291,4,406,98,18,227,1639
"19",2020-03-16,52,4,9,123,76,144,45,472,9,104,17,56,130,17,8,41,11,36,22,17,330,4,508,116,24,270,2239
"20",2020-03-17,67,5,10,158,89,165,59,619,10,110,24,60,137,20,11,47,12,40,30,23,422,4,608,173,30,294,2778
"21",2020-03-18,101,6,11,193,116,182,86,751,14,116,26,65,145,22,13,61,13,43,39,32,511,5,796,225,36,424,3801
"22",2020-03-19,118,6,15,282,134,222,111,961,17,145,31,78,152,25,15,85,13,54,47,36,638,7,1212,311,42,526,5024
"23",2020-03-20,168,6,19,377,184,272,145,1136,22,213,37,92,159,28,18,98,14,66,56,49,834,7,1432,346,48,773,6526
"24",2020-03-21,200,7,22,418,282,299,167,1262,26,239,49,109,177,33,20,141,19,76,65,56,918,12,1676,433,53,871,7345
"25",2020-03-22,232,7,26,444,289,358,202,1417,31,266,51,131,188,36,23,185,25,85,73,75,939,17,1782,490,57,970,7947
"26",2020-03-23,241,8,30,470,302,376,226,1509,32,271,57,156,204,39,25,228,30,95,82,81,1165,22,1822,527,62,1068,9051
"27",2020-03-24,266,8,33,532,306,414,255,1598,33,276,66,205,230,42,25,228,32,104,90,87,1211,25,2162,606,72,1211,10040
"28",2020-03-25,319,9,34,624,341,466,293,1708,40,322,78,228,256,44,27,228,34,129,99,96,1354,32,2215,651,80,1363,11063
"29",2020-03-26,349,11,42,660,422,505,309,1902,43,373,99,253,271,48,30,306,35,141,99,110,1401,38,2532,715,87,1476,12257
"30",2020-03-27,364,12,44,718,466,534,369,2051,44,409,112,287,287,54,37,322,36,157,119,117,1688,40,2745,808,101,1578,13483
"31",2020-03-28,403,13,45,767,502,573,421,2277,47,438,118,317,311,55,40,339,37,173,122,134,1727,48,2936,902,105,1720,14495
"32",2020-03-29,442,14,48,798,511,609,442,2349,48,468,118,339,313,59,43,365,40,190,128,138,1837,50,3168,964,108,1758,15195
"33",2020-03-30,481,14,50,826,539,621,477,2450,50,497,122,351,338,63,46,389,41,198,135,148,1962,53,3272,1000,112,1874,16101
"34",2020-03-31,478,10,59,910,599,680,409,2523,56,508,129,355,367,70,41,394,58,206,144,158,2091,50,3748,1008,128,2056,17416
"35",2020-04-01,524,13,60,949,628,710,488,2700,57,551,141,395,381,72,48,430,54,225,152,169,2214,58,3855,1107,132,2144,18357
"36",2020-04-02,553,13,64,997,664,745,510,2825,60,580,148,417,400,76,50,453,58,239,159,179,2336,61,4087,1165,140,2258,19375
"37",2020-04-03,583,13,67,1046,700,780,532,2950,63,610,155,439,419,80,52,475,62,252,167,189,2459,64,4318,1223,147,2373,20393
