"","Date","AG","AI","AR","BE","BL","BS","FR","GE","GL","GR","JU","LU","NE","NW","OW","SG","SH","SO","SZ","TG","TI","UR","VD","VS","ZG","ZH","CH"
"1",2020-03-06,"10","0","1","20","9","17","7","16","0","13","1","2","8","0","0","1","0","1","7","1","37","0","23","4","5","24","207"
"2",2020-03-07,"14","0","1","25","13","22","7","25","0","15","3","4","11","0","0","1","0","1","7","1","43","0","30","5","6","28","262"
"3",2020-03-08,"14","0","1","31","19","25","8","38","0","17","3","6","13","0","0","3","0","1","7","1","58","0","40","5","7","34","331"
"4",2020-03-09,"14","0","2","34","20","29","10","40","0","17","3","5","17","0","0","3","0","1","7","2","67","0","51","7","7","36","372"
"5",2020-03-10,"15","0","2","39","22","39","12","53","0","18","4","6","27","0","0","7","0","1","7","3","91","0","77","15","7","45","490"
"6",2020-03-11,"17","0","2","41","23","49","16","78","2","23","5","7","27","3","0","10","1","3","8","4","131","0","108","18","7","55","638"
"7",2020-03-12,"22","0","2","51","29","80","26","76","2","28","7","8","33","4","0","14","1","7","9","5","170","0","156","23","7","91","851"
"8",2020-03-13,"28","0","5","62","42","111","31","86","4","39","7","13","37","5","7","19","1","8","10","5","218","2","222","29","7","124","1122"
"9",2020-03-14,"31","2","5","78","48","119","38","107","5","47","10","19","39","5","8","26","1","10","13","5","262","2","273","47","9","148","1357"
"10",2020-03-15,"40","3","4","104","57","127","44","294","5","60","14","30","57","7","8","29","1","13","13","10","285","1","331","63","10","213","2155"
"11",2020-03-16,"52","3","4","131","73","144","50","382","5","80","19","43","74","10","10","35","2","18","15","17","330","2","461","77","11","270","2327"
"12",2020-03-17,"67","3","6","152","93","165","56","395","6","100","23","50","77","12","13","47","4","24","21","23","422","3","695","95","13","294","2650"
"13",2020-03-18,"101","3","10","193","116","182","67","468","10","116","25","48","99","18","16","61","6","31","29","32","511","5","721","129","17","424","3438"
"14",2020-03-19,"118","3","16","282","139","222","82","645","16","123","27","63","132","25","17","85","8","39","35","36","638","7","919","232","23","526","4281"
"15",2020-03-20,"164","4","23","360","176","244","94","826","20","160","35","79","158","33","22","106","12","51","48","52","750","9","1175","320","30","673","5243"
"16",2020-03-21,"0"," 2","104","116"," 7"," 40"," 2"," 60","25","  8"," 0"," 0"," 29"," 6"," 7"," 2","170","1"," 721"," 5"," 36"," 851",NA,NA,NA,NA,NA
"17",2020-03-22,"0"," 5","131","139"," 7"," 53"," 4"," 80","27"," 11"," 0"," 7"," 35"," 8"," 7"," 3","218","2"," 919"," 6"," 45","1122",NA,NA,NA,NA,NA
"18",2020-03-23,"0"," 5","152","176"," 8"," 78"," 5","100","35"," 13"," 3"," 8"," 47","12"," 7"," 4","262","3","1175"," 7"," 55","1357",NA,NA,NA,NA,NA
"19",2020-03-24,"-3","5","165","179","2","55","-1","82","37","5","0","4","42","11","7","2","280","2","1223","7","19","1441",NA,NA,NA,NA,NA
"20",2020-03-25,"-22","5","193","170","-19","31","-14","-1","41","-15","-5","-5","30","10","5","-10","330","-4","1443","2","-74","1704",NA,NA,NA,NA,NA
"21",2020-03-26,"-41","6","220","161","-40","8","-27","-84","46","-35","-9","-14","18","8","4","-22","380","-9","1662","-2","-167","1966",NA,NA,NA,NA,NA
