"","Date","AG","AI","AR","BE","BL","BS","FR","GE","GL","GR","JU","LU","NE","NW","OW","SG","SH","SO","SZ","TG","TI","UR","VD","VS","ZG","ZH","CH"
"1",2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2020-02-28,1,0,0,2,1,2,1,2,0,2,0,0,1,0,0,0,0,0,1,0,5,0,3,0,1,3,26
"3",2020-02-29,2,0,0,5,2,4,2,4,0,3,0,0,2,0,0,0,0,0,2,0,9,0,6,1,1,6,52
"4",2020-03-01,4,0,0,8,2,6,3,6,0,5,0,1,3,0,0,0,0,0,3,0,14,0,9,2,2,9,78
"5",2020-03-02,5,0,0,10,2,8,4,8,0,6,0,1,4,0,0,0,0,0,4,0,18,0,12,2,2,12,104
"6",2020-03-03,6,0,1,12,2,11,4,10,0,8,1,1,5,0,0,1,0,1,4,1,23,0,14,2,3,15,129
"7",2020-03-04,8,0,1,15,2,13,5,12,0,10,1,2,6,0,0,1,0,1,5,1,28,0,17,3,4,18,155
"8",2020-03-05,9,0,1,18,6,15,6,14,0,11,1,2,7,0,0,1,0,1,6,1,32,0,20,4,4,21,181
"9",2020-03-06,10,0,1,20,6,17,7,16,0,13,1,2,8,0,0,1,0,1,7,1,37,0,23,4,5,24,207
"10",2020-03-07,14,0,1,25,15,22,7,25,0,15,3,4,11,0,0,1,0,1,7,1,43,0,30,5,6,28,262
"11",2020-03-08,14,0,1,31,19,25,8,38,0,17,3,6,13,0,0,3,0,1,7,1,58,0,40,5,7,34,331
"12",2020-03-09,14,0,2,34,20,29,10,40,0,17,3,5,17,0,0,3,0,1,7,2,67,0,51,7,7,36,372
"13",2020-03-10,15,0,2,39,22,39,12,53,0,18,4,6,27,0,0,7,0,1,7,3,91,0,77,15,7,45,490
"14",2020-03-11,17,0,2,41,26,49,16,78,2,23,5,7,27,3,0,10,1,3,8,4,131,0,108,18,7,55,638
"15",2020-03-12,22,0,2,51,26,80,26,76,2,28,7,8,33,4,0,14,1,7,9,5,170,0,156,23,7,91,851
"16",2020-03-13,28,0,5,62,42,111,31,86,4,39,7,13,37,5,7,19,1,8,10,5,218,0,222,29,7,124,1120
"17",2020-03-14,31,0,5,78,47,119,38,107,5,47,10,19,39,5,8,26,1,10,13,5,262,0,273,47,9,148,1358
"18",2020-03-15,42,1,6,104,54,132,45,281,6,64,14,29,56,8,10,30,2,15,13,11,296,1,406,63,11,209,2155
"19",2020-03-16,52,2,8,131,76,144,52,373,8,82,19,40,74,10,12,35,4,20,18,17,330,2,508,79,13,270,2327
"20",2020-03-17,67,2,9,162,89,165,60,495,9,99,23,50,77,12,14,47,5,26,24,23,422,4,608,95,15,294,2650
"21",2020-03-18,101,3,10,193,116,182,67,629,10,116,25,48,99,18,16,61,6,31,29,32,511,5,796,129,17,424,3674
"22",2020-03-19,118,3,16,282,134,222,82,826,16,145,27,63,132,25,17,85,8,39,35,36,638,7,1212,232,23,526,4954
"23",2020-03-20,168,3,18,377,184,272,109,994,18,159,29,92,159,28,17,98,14,46,39,49,834,7,1432,282,48,773,6249
"24",2020-03-21,175,3,22,418,282,299,136,1128,21,239,49,109,177,33,19,137,17,58,56,56,918,12,1676,359,53,832,7220
"25",2020-03-22,232,3,26,444,289,358,162,1203,24,257,51,131,188,36,20,163,28,68,70,75,939,12,1782,432,57,891,7906
"26",2020-03-23,241,4,30,470,302,376,189,1231,29,266,57,156,204,39,25,185,30,95,73,81,1165,22,1880,492,62,1068,8772
